,Unnamed: 0,Model,Phase,QE,Accuracy,Precision,Recall
0,0,SVM,train,False,0.9755324766766414,0.9756918038817762,0.9740218676214568
1,1,SVM,test,False,0.8747361013370866,0.881538302671636,0.8689571764895063
2,2,Random Forest,train,False,0.9734201725048408,0.9738917614490116,0.972076683514129
3,3,Random Forest,test,False,0.8381421534130894,0.85842355264325,0.8307652475302254
4,4,Neural Network,train,False,0.974300299243091,0.9774514956773996,0.9707689257002692
5,5,Neural Network,test,False,0.8226600985221675,0.8456839797477438,0.8119820002657655
6,6,SVM,train,False,0.977116704805492,0.976748999318062,0.9765739415817256
7,7,SVM,test,False,0.8747361013370866,0.8777070939752762,0.8656718398868157
8,8,Random Forest,train,False,0.9760605527195916,0.9759978856938324,0.9755188090315368
9,9,Random Forest,test,False,0.8451794510907812,0.8607793861932722,0.8341186985812589
10,10,Neural Network,train,False,0.976940679457842,0.9757754197995228,0.9778793164137533
11,11,Neural Network,test,False,0.9422941590429276,0.9371982630517371,0.942017660344955
12,12,SVM,train,False,0.9780007039774729,0.9775682214479536,0.9770122884765324
13,13,SVM,test,False,0.8654929577464788,0.8761012717588751,0.8592997921754209
14,14,Random Forest,train,False,0.9771207321365716,0.976745831568138,0.9764350696813138
15,15,Random Forest,test,False,0.8464788732394366,0.8644168020930664,0.8398412453939473
16,16,Neural Network,train,False,0.9785286870820132,0.9803196278133596,0.9757464425418731
17,17,Neural Network,test,False,0.9422535211267604,0.9434636393066552,0.940435504214283
18,18,SVM,train,False,0.9771207321365716,0.9777047729700388,0.9755158966478912
19,19,SVM,test,False,0.8690140845070422,0.8743758469833566,0.8635619082313166
20,20,Random Forest,train,False,0.9744808166138684,0.9751616828244464,0.9733291264685572
21,21,Random Forest,test,False,0.826056338028169,0.8467988397718433,0.8181518508681357
22,22,Neural Network,train,False,0.9769447377683914,0.9765058416358464,0.9765467135455782
23,23,Neural Network,test,False,0.947887323943662,0.9459055503510756,0.9455773494101368
24,24,SVM,train,False,0.97588877155931,0.975235045324659,0.9749568876783654
25,25,SVM,test,False,0.8584507042253521,0.8650725595573622,0.8536189900275698
26,26,Random Forest,train,False,0.9739528335093276,0.9740194926786512,0.9727028828969958
27,27,Random Forest,test,False,0.8295774647887324,0.8501115747356349,0.821692529978769
28,28,Neural Network,train,False,0.9764167546638508,0.9783024291967216,0.9732078317328304
29,29,Neural Network,test,False,0.9535211267605632,0.9536579389584636,0.9529919295509188
